Accession	Geo_Location	Collection_Date	GenBank_Title
NC_045512	China	2019-12	"Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome"
MT350234	China: Nanchang	2020-01	"Severe acute respiratory syndrome coronavirus 2 ORF1ab polyprotein, RNA-dependent RNA polymerase region, (ORF1ab) gene, partial cds"
MT350236	USA: VA	2020-03	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-0041/2020, complete genome"
MT350237	USA: VA	2020-03	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-0047/2020, complete genome"
MT350238	USA: VA	2020-03	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-0048/2020, complete genome"
MT350239	USA: VA	2020-03	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-0049/2020, complete genome"
MT350240	USA: VA	2020-03	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-0050/2020, complete genome"
MT350241	USA: VA	2020-03	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-0051/2020, complete genome"
MT350242	USA: VA	2020-03	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-0052/2020, complete genome"
MT350243	USA: VA	2020-03	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-0053/2020, complete genome"
MT350244	USA: VA	2020-03	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-0054/2020, complete genome"
MT350245	USA: VA	2020-03	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-0055/2020, complete genome"
MT350246	USA: VA	2020-04	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-0056/2020, complete genome"
MT350247	USA: VA	2020-03	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-0057/2020, complete genome"
