S	collection_date	region	country	Sample	Colombia	Finland	France	Iraq	Nepal	Peru	South-Africa	Sweden	Turkey	Belgium	Brazil	Israel	Nigeria	Thailand	Japan	Malaysia	Pakistan	Taiwan	Greece	India	Philippines	South-Korea	Tunisia	Viet-Nam	Australia	Italy	Iran	Spain	China	USA
SRR11514749	2020-03	Malaysia	Malaysia	SRR11514749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12614236330805434	0	0	0.125837828658979	0.12427769627050039	0	0	0.1233580859086661	0	0.046115494700220284	0	0.04049690427821269	0.02925216594180449	0.17086816150242598	0.09212679756163987	0.14459162304104595
SRR11313446	2020-01	China-Hubei	China	SRR11313446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12602717518105075	0	0	0.12571154694599143	0.12415112104035546	0.06969377678226853	0	0.12332348914794047	0.07287088755863161	0.046070367689702935	0	0	0	0.17194259606883802	0.09241875799686766	0.1444300415762719
SRR11494575	2020-03	Australia	Australia	SRR11494575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12611447404319523	0	0	0.125897193801796	0.12429661610890597	0	0	0.12339590455748145	0	0.046134420716948996	0	0.04052314928231925	0.029325417210195114	0.17083815591932897	0.0921725839571965	0.1448243323824915
SRR11313269	2020-02	China-Hubei	China	SRR11313269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10874760264764988	0.08861914833458891	0	0.13980446930372564	0	0
SRR11410532	2020-03	USA-Utah	USA	SRR11410532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12610879311550133	0	0	0.1257454995356187	0.1243023184807355	0	0	0.12346183309273406	0	0.04610000758764193	0	0.04073312266146666	0.029161879933785842	0.171486001667405	0.09248061306706752	0.1447100161098908
SRR11494747	2020-03	Australia	Australia	SRR11494747	0	0	0	0	0	0	0	0	0	0	0.12366874093066946	0	0	0	0.1271986950740737	0	0	0.1264566468325279	0.12494631113342813	0	0	0.12427197575522712	0	0.045594425238317415	0	0.042209915957642494	0	0.16874678988273142	0.09368355717346348	0.15645074031225384
SRR11494611	2020-03	Australia	Australia	SRR11494611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12565497896511466	0	0	0.12565050007323955	0.1238200835486224	0	0	0.12305462738964958	0	0.04591682153916446	0	0.0415166063920783	0.02975561554992101	0.17116364882372356	0.09230595559294415	0.14372002442490892
SRR11479041	2020-03	USA-Utah	USA	SRR11479041	0	0	0	0	0	0	0	0	0	0	0	0.12138133624201346	0	0	0.12774239190990122	0	0	0.12629103739546713	0.1252632157156857	0	0	0.12419471750496139	0	0.04555738613161001	0	0.039531284363545804	0	0.1722383472221064	0.09367248905403698	0.15853261959895484
SRR11410122	2020-03	USA-WI	USA	SRR11410122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1276374600390557	0	0	0.12629774964401336	0.1252938611195624	0	0	0.1243250765928267	0.08550200103011964	0.045487815862882745	0	0	0.025690467259090695	0.17053054224829114	0.09409931091602138	0.1579103980432972
SRR11544820	2020-04	USA-WI	USA	SRR11544820	0	0	0	0	0	0	0	0	0	0	0	0	0.033272617153850194	0	0	0	0.0832982347362815	0	0	0	0	0	0.05129311968091956	0	0.035401001119847765	0	0.02637940896260214	0.17372818726225367	0.09341421387136738	0.1637514651496587
